name,category,commitment,serving,calories,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,fiber,sugar,protein,ratio_fat,ratio_carb,ratio_protein
non-gmo soy lecithin,fat,1,10,70,5.5,1,0,0,1,0,0,0,71,0,0
extra-virgin olive oil,fat,1,15,120,14,2,0,0,0,0,0,0,100,0,0
chocolate butter,fat,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cocoa butter,fat,1,15,120,13.6,8.119,0,0,0,0,0,0,100,0,0
extra-virgin avocado oil,fat,1,15,120,13.8,1.8,0,0,0,0,0,0,100,0,0
palm oil,fat,2,14,120,13.6,6.7,0,0,0,0,0,0,100,0,0
Grain-fed butter,fat,2,14,100,11,7,30,0,0,0,0,0,100,0,0
grain-fed ghee,fat,2,15,135,15,9,24,0,0,0,0,0,100,0,0
unheated almond oil,fat,2,14,120,14,1,0,0,0,0,0,0,100,0,0
unheated hazelnut oil,fat,2,14,130,14,1,0,0,0,0,0,0,100,0,0
unheated walnut oil,fat,2,14,130,14,1,0,0,0,0,0,0,100,0,0
duck fat,fat,3,14,115,12.77,4.25,13,0,0,0,0,0,100,0,0
goose fat,fat,3,14,115,12.77,3.54,13,0,0,0,0,0,100,0,0
canola oil,fat,3,15,120,14,1,0,0,0,0,0,0,100,0,0
corn oil,fat,3,14,120,13.6,1.761,0,0,0,0,0,0,100,0,0
cottonseed oil,fat,3,14,120,13.6,3.522,0,0,0,0,0,0,100,0,0
flax oil,fat,3,14,110,11,1,0,0,1,0,0,0,96,4,0
peanut oil,fat,3,14,120,14,2.5,0,0,0,0,0,0,100,0,0
soy and vegetable oil,fat,3,14,120,13.6,2.026,0,0,0,0,0,0,100,0,0
chicken fat,fat,3,14,115,12.77,3.81,0,0,0,0,0,0,100,0,0
safflower oil,fat,3,14,120,13.6,0.844,0,0,0,0,0,0,100,0,0
sunflower oil,fat,3,14,120,13.6,1.401,0,0,0,0,0,0,100,0,0
avocado,vegetable,1,28,47,4.37,0.603,0,2,2.45,1.9,0.09,0.56,77,19,4
